as_of,referring_domain,target_url,gsc_external_links,source_url_status
2026-08-31,aikenhouse.com,https://www.aivortex.io/legal/ai-tools/harvey-ai-pricing-2026/,1,observed
2026-08-31,aitoolservices.com,https://www.aivortex.io/legal/ai-case-law/suno-udio-music-ai/,1,observed
2026-08-31,alatirok.com,https://www.aivortex.io/legal/ai-case-law/suno-udio-music-ai/,1,observed
2026-08-31,backplain.com,https://www.aivortex.io/legal/ai-tools/harvey-ai-pricing-2026/,1,observed
2026-08-31,batesonlaw.com,https://www.aivortex.io/legal/guides/ai-deepfakes-legal-implications-2026/,1,observed
2026-08-31,dailyinsight24.com,https://www.aivortex.io/legal/ai-tools/harvey-ai-pricing-2026/,1,observed
2026-08-31,dev.to,https://www.aivortex.io/legal/ai-tools/evenup/,1,observed
2026-08-31,dupple.com,https://www.aivortex.io/legal/compare/lexis-ai-pricing-2026/,1,observed
2026-08-31,findskill.ai,https://www.aivortex.io/legal/ai-tools/harvey-ai-pricing-2026/,1,observed
2026-08-31,granular.to,https://www.aivortex.io/legal/compare/cocounsel-pricing-2026/,1,observed
2026-08-31,innovatopia.jp,https://www.aivortex.io/legal/ai-case-law/suno-udio-music-ai/,1,observed
2026-08-31,irys.ai,https://www.aivortex.io/legal/ai-tools/harvey-ai-pricing-2026/,1,observed
2026-08-31,juriscout.com,https://www.aivortex.io/legal/ai-tools/harvey-ai-pricing-2026/,1,observed
2026-08-31,lawfuel.com,https://www.aivortex.io/legal,1,observed
2026-08-31,layer3labs.io,https://www.aivortex.io/legal/compare/spellbook-pricing-2026/,1,observed
2026-08-31,medium.com,https://www.aivortex.io/legal/ai-tools/cocounsel/,1,observed
2026-08-31,mirnowosti.ru,https://www.aivortex.io/legal/ai-case-law/thaler-v-vidal/,1,observed
2026-08-31,mlq.ai,https://www.aivortex.io/legal/ai-case-law/suno-udio-music-ai/,1,observed
2026-08-31,mylegalacademy.com,https://www.aivortex.io/legal/compare/best-ai-for-legal-drafting/,1,observed
2026-08-31,newsbang.com,https://www.aivortex.io/legal/ai-case-law/suno-udio-music-ai/,1,observed
2026-08-31,newspicks.com,https://www.aivortex.io/legal/ai-tools/harvey-ai-pricing-2026/,1,observed
2026-08-31,onetwoonetwo.com,https://www.aivortex.io/legal/ai-case-law/suno-udio-music-ai/,1,observed
2026-08-31,pm-linkle.com,https://www.aivortex.io/legal/ai-case-law/suno-udio-music-ai/,1,observed
2026-08-31,proactiveacademy.fr,https://www.aivortex.io/legal/ai-tools/harvey-ai-pricing-2026/,1,observed
2026-08-31,scam-detector.com,https://www.aivortex.io/legal,1,observed
2026-08-31,scribbright.com,https://www.aivortex.io/legal/guides/which-legal-jobs-safe-from-ai/,1,observed
2026-08-31,theairankings.com,https://www.aivortex.io/legal/compare/spellbook-pricing-2026/,1,observed
2026-08-31,thestateofbrand.com,https://www.aivortex.io/legal/ai-tools/harvey-ai-pricing-2026/,1,observed
2026-08-31,tistory.com,https://www.aivortex.io/legal/compare/harvey-ai-vs-claude/,1,observed
2026-08-31,unifuncs.com,https://www.aivortex.io/legal/guides/ai-deepfakes-legal-implications-2026/,1,observed
2026-08-31,w3developing.com,https://www.aivortex.io/legal/ai-case-law/suno-udio-music-ai/,1,observed
2026-08-31,yaeclass.com,https://www.aivortex.io/legal/ai-case-law/suno-udio-music-ai/,1,observed
2026-08-31,yorozuipsc.com,https://www.aivortex.io/legal/agentic-ai/lexis-protege-vs-cocounsel-vs-harvey/,1,observed
