as_of,referring_domain,target_url,source_url,gsc_original_link_url,evidence_status
2026-08-31,legalrealist.ai,https://www.aivortex.io/legal/ai-tools/cocounsel/,https://legalrealist.ai/posts/03-the-tools/,Unknown,gsc_observed
2026-08-31,legalrealist.ai,https://www.aivortex.io/legal/ai-tools/luminance-standalone/,https://legalrealist.ai/posts/03-the-tools/,Unknown,gsc_observed
2026-08-31,legalrealist.ai,https://www.aivortex.io/legal/compare/lexis-ai-pricing-2026/,https://legalrealist.ai/posts/03-the-tools/,Unknown,gsc_observed
2026-08-31,legalrealist.ai,https://www.aivortex.io/legal/compare/spellbook-pricing-2026/,https://legalrealist.ai/posts/03-the-tools/,Unknown,gsc_observed
2026-08-31,caserolaw.com,https://www.aivortex.io/legal/agentic-ai/lexis-protege-vs-cocounsel-vs-harvey/,https://blog.caserolaw.com/,Unknown,gsc_observed
2026-08-31,caserolaw.com,https://www.aivortex.io/legal/best-of/legal-ai-tools-comparison-chart/,https://blog.caserolaw.com/,Unknown,gsc_observed
2026-08-31,caserolaw.com,https://www.aivortex.io/legal/compare/best-ai-for-legal-billing/,https://blog.caserolaw.com/,Unknown,gsc_observed
2026-08-31,caserolaw.com,https://www.aivortex.io/legal/guides/westlaw-vs-lexis-vs-vlex-2026/,https://blog.caserolaw.com/,Unknown,gsc_observed
2026-08-31,hermify.io,https://www.aivortex.io/legal/ai-tools/harvey-ai-pricing-2026/,https://www.hermify.io/de/blog/ai-agent-for-lawyers,Unknown,gsc_observed_localization
2026-08-31,hermify.io,https://www.aivortex.io/legal/ai-tools/harvey-ai-pricing-2026/,https://www.hermify.io/en/blog/ai-agent-for-lawyers,Unknown,gsc_observed_origin
2026-08-31,hermify.io,https://www.aivortex.io/legal/ai-tools/harvey-ai-pricing-2026/,https://www.hermify.io/it/blog/ai-agent-for-lawyers,Unknown,gsc_observed_localization
2026-08-31,hermify.io,https://www.aivortex.io/legal/ai-tools/harvey-ai-pricing-2026/,https://www.hermify.io/zh/blog/ai-agent-for-lawyers,Unknown,gsc_observed_localization
2026-08-31,awesomeagents.ai,https://www.aivortex.io/legal/compare/cocounsel-pricing-2026/,https://awesomeagents.ai/tools/best-ai-tools-lawyers-2026/,Unknown,gsc_observed
2026-08-31,awesomeagents.ai,https://www.aivortex.io/legal/compare/lexis-ai-pricing-2026/,https://awesomeagents.ai/tools/best-ai-tools-lawyers-2026/,Unknown,gsc_observed
2026-08-31,callings.ai,https://www.aivortex.io/legal/guides/ai-legal-career-paths-2026/,https://www.callings.ai/job-market/legal-compliance-risk/dallas-fort-worth-arlington,Unknown,gsc_observed_programmatic
2026-08-31,callings.ai,https://www.aivortex.io/legal/guides/ai-legal-career-paths-2026/,https://www.callings.ai/job-market/legal-compliance-risk/houston-pasadena-the-woodlands,Unknown,gsc_observed_programmatic
2026-08-31,casefleet.com,https://www.aivortex.io/legal/compare/everlaw-pricing-2026/,https://www.casefleet.com/blog/legal-ai-pricing-rate-limits-and-overages,Unknown,public_verified_GSC_source_detail_rate_limited
2026-08-31,casefleet.com,https://www.aivortex.io/legal/compare/spellbook-pricing-2026/,https://www.casefleet.com/blog/legal-ai-pricing-rate-limits-and-overages,Unknown,public_verified_GSC_source_detail_rate_limited
2026-08-31,legaltechmag.com,https://www.aivortex.io/legal/compare/lexis-ai-pricing-2026/,https://www.legaltechmag.com/tools/lexis-protege,Unknown,public_verified_GSC_source_detail_rate_limited
2026-08-31,legaltechmag.com,https://www.aivortex.io/legal/compare/spellbook-pricing-2026/,https://www.legaltechmag.com/tools/spellbook,Unknown,public_verified_GSC_source_detail_rate_limited
2026-08-31,granular.to,https://www.aivortex.io/legal/compare/cocounsel-pricing-2026/,https://granular.to/blog/harvey-spellbook-cocounsel-40m-law-firm,Unknown,public_verified_GSC_source_detail_rate_limited
